country,count,points
Argentina,3800,86.7
Armenia,2,87.5
Australia,2329,88.6
Austria,3345,90.1
Bosnia and Herzegovina,2,86.5
Brazil,52,84.7
Bulgaria,141,87.9
Canada,257,89.4
Chile,4472,86.5
China,1,89.0
Croatia,73,87.2
Cyprus,11,87.2
Czech Republic,12,87.2
Egypt,1,84.0
England,74,91.6
France,22093,88.8
Georgia,86,87.7
Germany,2165,89.9
Greece,466,87.3
Hungary,146,89.2
India,9,90.2
Israel,505,88.5
Italy,19540,88.6
Lebanon,35,87.7
Luxembourg,6,88.7
Macedonia,12,86.8
Mexico,70,85.3
Moldova,59,87.2
Morocco,28,88.6
New Zealand,1419,88.3
Peru,16,83.6
Portugal,5691,88.3
Romania,120,86.4
Serbia,12,87.5
Slovakia,1,87.0
Slovenia,87,88.1
South Africa,1401,88.1
Spain,6645,87.3
Switzerland,7,88.6
Turkey,90,88.1
US,54504,88.6
Ukraine,14,84.1
Uruguay,109,86.8
